Title,Year,Project Number,Type,Programme,Description,Client,Location,Status,Area,Scope,Collaborators
Packhofstraße Corner Commercial,2011,153,"Commercial, Office",Retail,"The creation of a vibrant 5-story commercial hub is perfectly situated to meet the demands of a bustling downtown environment. Inspired by the surrounding urban landscape, our design seamlessly blends modern functionality with timeless aesthetic. By strategically incorporating elements like ground-level storefronts and expansive glass features, we've crafted a space that invites foot traffic and draws attention businesses. With its prominent corner location, the building not only stands as a landmark but also serves as a gateway to the thriving Heiliger street. By maximizing visibility and accessibility, our design ensures that businesses enjoy prime exposure, driving growth and success. From its adaptable layout to its harmonious integration with neighboring structures, every aspect of this project is tailored to elevate presence in the vibrant downtown scene.",Development Partner,"Hanover, Germany",Completed,,Architecture,
Europacity Neighbourhood,2019,30,"Residential, Urban Design","Urban Design, Residential","Rooted in a vision of high-quality urban living, the project reimagines neighbourhood life through small-scale volumes that foster diversity, intimacy, and a strong sense of community. A series of courtyards opens the site, connecting private and semi-public spaces while weaving together the rhythms of everyday life. Each plot is designed according to its specific location within the masterplan, with tailored frontages, subdivided units, and setback entrances that create variation and human scale. Open ground floors accommodate local businesses, encouraging activity and a thriving street atmosphere.At the heart of the development, two connected courtyard squares prioritise residents, offering shared spaces for gathering and play. Toward the southeast, the plan opens to the public realm, inviting engagement and extending the sense of community beyond the site itself. The result is an urban fabric that balances density and openness—designed to transform how people live, meet, and belong in the city.",Richard Ditting,"Berlin, Germany",Completed,"33,000 m²",Urban Design and Architecture,"Design Area 12.4: Bieling Architects

Design Area 11.2, 11.3, 11.4, 12.5, 12.1, 12.2: Max Dudler

Design Area 12.3., 11.1: Lorenzen Mayer Architects

Execution of all construction areas: Bieling Architects"
EAM Headquarters,1995,1,Office,"Office, Headquarters","The project's essence lies in seamlessly integrating the expansive building into its diverse urban and natural surroundings, enhancing the workspace's overall quality. Its design ethos prioritizes harmony between the landscape, adjacent areas, and the volume itself, fostering an environment conducive to productivity and well-being. The facade design, particularly in the office sections, embodies a sense of lightness and openness, contributing to a welcoming and inspiring atmosphere. By gracefully blending with the surrounding green spaces, especially towards the southern part of the property, the office wings create an inviting and serene work environment. Additionally, the strategic placement of central facilities facing the main street reflects a thoughtful approach to urban integration. Moreover, the inclusion of renowned artist Brian Clarke's glass facade artwork in the foyer adds a touch of sophistication, symbolizing the company's commitment to excellence and creativity.",EAM Mitte,"Kassel, Germany",Completed,"31,000 m²",Architecture,
Basler Securitas Offices,2007,105,Office,Office,"Located near Bad Homburg's train station and downtown, this project offers modern office spaces designed for optimal productivity and collaboration. Its innovative architecture features two interconnected cubic structures, promoting a dynamic work environment. With a focus on natural light and flexible layouts, the building prioritizes employee well-being. Spacious lobbies, meeting points on each floor, and lounge-like tea-kitchens encourage interaction and creativity. Artist Jan Albers' designs adorn the entrance hall and meeting points, adding a unique touch to the space. Overall, this project provides a vibrant and functional workspace, enhancing both productivity and employee satisfaction.",Basler Lebens-Versicherungsgesellschaft,"Bad Homburg, Germany",Completed,"22,400 m²",Architecture,
Sartorius Quartier,2022,92,"Residential, Commercial, Urban Design, Hotel","Mixed-Use, Residential, Hotel, Retail","On the former industrial site and factory premises of Sartorius AG in the northern part of Göttingen, a new mixed-use district is brough to life, jointly developed by HAMBURG TEAM and Sartorius AG. Three historic buildings on site have been retained and refurbished and together with an open hall and a new building, will form the new district. The district includes residential buildings, daycare center, commercial spaces along with a hotel with a restaurant and connecting retail space. Additionally, a new concept of smart- serviced apartments with be at the center of the distric, while a rooftop Skybar brings life to the area with unmatchable views of the city. This visionary project aims to blend history with innovation, fostering a dynamic environment for work, life, and leisure in the heart of Göttingen.The project has been awarded the Brownfield Prize, for it's positive tranformation from an unused industrial site to a lively neighbourhood.",Hamburg Team,"Göttingen, Germany",Completed,"35,000 m²",Urban Design and Architecture,
Robotic Clay Printing: Form & Code,2016,02R,Research,Fabrication Research,"This project focuses on harnessing the potential of robotic clay printing in architecture. We analyze natural phenomena, breaking them down into their geometric characteristics and behaviors. These attributes are then translated into code, generating a series of graphs that inherently consider the possibilities of robotic clay printing three-dimensional structures. The precision and versatility of 3D printing allow for the creation of complex forms that would be challenging or impossible to achieve through traditional methods. This technology not only enhances design flexibility but also accelerates the development process, enabling rapid prototyping and refinement. Ultimately, the goal is to demonstrate the transformative potential of robotic clay printing in architectural innovation and efficiency, pushing the boundaries of what’s possible in modern design.",Research,"London, UK",Completed,,Architecture,Architectural Association
Catholic University Auditorium & Seminar Pavilion,2017,76,Education,"Auditorium, Seminar Spaces","The Catholic University of Applied Sciences is enhancing its academic environment to accommodate its growing student body. Addressing the pressing need for additional lecture halls and seminar rooms, we designed and delivered a new single-story building seamlessly integrating into the historic charm of the campus and its lush parkland setting. Designed to harmonize with the existing architecture, the new structure delicately rises above ground level, exuding an aura of lightness amidst the solidity of surrounding walls and portals. Accessible from both the park and the main building, the new facility prioritizes inclusivity with barrier-free entrances. Inside, wooden feautures provide warmth and acoustic comfort. Floor-to-ceiling glass panels on its facades infuse teaching spaces with natural light while versatile partition walls ensure flexibility in teaching methodologies. Constructed primarily from sustainable materials, including renewable wood for structural elements, the building embraces eco-conscious design. All elements come together creating a serene and conducive environment for learning and collaboration.",Erzbistum Paderborn,"Paderborn, Germany",Completed,"1,000 m²",Architecture,
Hybrid House — Live/Work,2013,194,"Office, Residential","Live/Work, Residential, Office","The design presents a standalone volume within the master plan, featuring cuts, interruptions, and setbacks that break up the cube. Deep incisions on all façade sides allow natural light to permeate the interior, creating niches that serve as balconies, providing residents with sheltered outdoor spaces. Embracing a hybrid usage concept, our design seamlessly integrates residential and commercial elements, promoting a cohesive living and working environment while preserving distinct zones for optimal comfort and productivity. Adhering to a flexible layout, each floor offers a diverse range of spaces, from individual units to expansive duplexes, catering to various lifestyle needs. Emphasizing functionality, we've meticulously planned separate entrances for office and residential domains, ensuring seamless navigation for all occupants. Inside, a dual-flight staircase layout mitigates any potential conflicts between residential and business users, fostering a harmonious coexistence.",Deutsche Real Estate and Hamburg + Wernst Real Estate,"Hamburg, Germany",Completed,"2,650 m²",Architecture,
Cathedral Museum & Monastery Renewal,2024,90,"Cultural, Retrofit","Museum, Cultural Heritage","The historic monastery building adjacent to the cathedral cloister has a rich history which our careful design restoration and revitalization celebrates. Initially serving as a retirement and nursing home until 2007, careful planning explored various potential uses in 2011 - ultimately leading to a parish hall and offices for the Parish of St. Peter in 2017. Under the supervision of the parish, with generous support from the Diocese of Fulda and public donors, the monastery is undergoing thorough renovation and partial reconstruction. Simultaneously, the cathedral museum has been revamped with new exhibition equipment and climate-controlled galleries - while the museum library received upgraded displays and technical equipment for better preservation.Outside, a new barrier-free entrance and forecourt improves access, as well as providing an open space for community gatherings. Following conservation guidelines, the facade and roof underwent careful renovation, preserving their historical significance. Limited interventions ensure compliance, allowing for respectful restoration while honoring the building's heritage.",Bistum Fulda,"Fritzlar, Germany",Completed,,Architecture,Ingrid Bussenius - Interior Design
Office & Kindergarten Pavilion,2022,147,"Education, Office","Office, Kindergarten","Our response to the competition brief, focuses on the addition of a new building, housing a day-care center and flexible offices. Drawing inspiration from adjacent buildings, our proposal completed the development of the company's campus. A key focus of the office floors is to create contemporary workspaces that are flexible, well-lit, and conducive to communication. The layout features single, double, and team offices flanking a versatile multi-functional zone, comprising meeting rooms, waiting areas and suporting spaces. We prioritize access to outdoor spaces to enhance well-being - including terraces, balconies and courtyards on every floor. The integration of the kindergarden at the ground floor enables flexibility for working parents. Densely planted areas and the use of softer materials like wood create a safe environment for the children. The design proposal fosters a family-friendly environment within the workplace, promoting a better work-life balance.",Undisclosed,"Hannover, Germany",Competition - First Prize,,Architecture,
Herz Mariae Church,1955,01J,Sacred,Church,,,,Completed,,Architecture,
Bellevue Apartments,2019,99,Residential,Residential,"Located along Hamburg’s scenic Outer Alster Lake, this residential building completes a historic perimeter block with a design that bridges heritage and modernity. Framed by listed neighbours marked by projections and recesses, the new addition integrates seamlessly—respectful in tone yet distinctly contemporary. The light limestone façade is finely detailed, with horizontal natural stone bands that subtly reference local tradition. Bronze-framed windows lend depth and warmth, their rhythm creating a refined play of proportion and shadow across the surface. A stepped-back penthouse with a generous roof terrace offers panoramic views of the lake, forming a calm and elegant conclusion to the building’s silhouette. Inside, careful spatial planning ensures bright, well-proportioned interiors that balance openness with privacy. The project reflects our studio’s belief that contemporary living can coexist gracefully within historic fabric—through clarity, material care, and a quiet sense of belonging.",Private,"Hamburg, Germany",Completed,,Architecture,
WIKUS Headquarters & Conference Centre,2018,81,Office,"Office, Headquarters, Conference Centre","The new WIKUS Headquarters marks a distinct architectural identity for the global leader in precision saw technology—translating technical excellence into an expressive architectural form. A new entrance building and conference centre define the campus’s focal point, welcoming visitors and employees alike. The flowing geometry of the façade gives the building a sense of movement and intent, while the folding façade—a reinterpretation of the company’s signature saw blade—creates a dynamic, kinetic surface that embodies both innovation and craft. The façade's perforated panels modulate transparency and daylight, ensuring visual lightness and adaptable comfort throughout the day. The design unifies existing and new structures, establishing a coherent architectural presence that reflects both continuity and progress. Inaugurated on the company’s 60th anniversary, the project stands as a built expression of precision, innovation, and human ingenuity—designed to connect identity, function, and experience into one seamless whole.",WIKUS,"Spangenberg, Germany",Completed,"26,000 m²",Architecture,IB Hausladen
105 Große Bockenheimer Straße — Mixed-Use,2010,117,"Commercial, Residential, Office","Mixed-Use, Residential, Office, Retail","Our new development on Frankfurt's bustling Bockenheimer street, offers a prime blend of retail, office, and residential spaces. With a strategic zoning approach, the facade elegantly divides into distinct sections, catering to diverse needs. From ground-level retail to upper-floor offices and exclusive residences, each area is thoughtfully designed for optimal functionality and aesthetic appeal. The facade's glass fiber concrete panels not only ensure structural integrity but also harmonize with the urban landscape. Additionally, the residential floors feature terraced walkways, enhancing their quality of life while maintaining independence. This thoughtful design ensures a seamless blend of functionality and privacy for occupants amidst the city buzz.",Development Partner,"Frankfurt, Germany",Completed,"4,500 m²",Architecture,
